,,,,,,,,,,,
Centros de costo Buzzword,,,,,,,,,,,
Centro de costo,Empresa,ID Empresa,Cliente,ID Cliente,Nombre actual,ID único,Centro de costo anterior,Nombre anterior,Activo,Tipo de Proyecto,Clasificación Comité
50-01-01,Buzzword,50,Buenher,01,Gestión - Buenher,01,50-24-00,BUENHER,1,7.- Administración,4.-Generales y Administrativos
50-02-02,Buzzword,50,Buzzword,02,Certificaciones - CMMI,02,03-10-00,Administración::Certificaciones::Buzzword CMMI 2.0,1,3.- Certificaciones,1.3.- Certificaciones
50-02-03,Buzzword,50,Buzzword,02,Certificaciones - ISO 27001,03,03-12-00,Administración::Certificaciones::ISO 27001,1,3.- Certificaciones,1.3.- Certificaciones
50-02-04,Buzzword,50,Buzzword,02,Certificaciones - NOM 151 PSC,04,16-02-00,Certificaciones::NOM 151 PSC,1,3.- Certificaciones,1.3.- Certificaciones
50-02-05,Buzzword,50,Buzzword,02,Certificaciones - PCI,05,03-11-00,Administración::Certificaciones::PCI,1,3.- Certificaciones,1.3.- Certificaciones
50-02-06,Buzzword,50,Buzzword,02,Gestión - Activos Intangibles Estrátegicos,06,50-29-00,Activos intangibles estrátegicos,1,7.1- Administración,4.-Generales y Administrativos
50-02-07,Buzzword,50,Buzzword,02,Gestión - Activos Intangibles Tácticos,07,50-28-00,Activos intagibles tacticos,1,7.3- Administración Mesa Directiva,5.-Activos Intangibles Estratégicos
50-02-08,Buzzword,50,Buzzword,02,Gestión - Activos Amortización,08,50-27-00,Generales amortización,1,2.-Administración Operativa,1.-Operación
50-02-09,Buzzword,50,Buzzword,02,Gestión - ISN,09,50-07-00,Buzzwrod: ISN,1,1.- Operación,1.-Operación
50-02-10,Buzzword,50,Buzzword,02,Gestión - ISR ,10,50-08-00,Buzzword: ISR Provisional,1,8.4.- Impuestos Generales,8.4.- Impuestos
50-02-11,Buzzword,50,Buzzword,02,Gestión - Nómina,11,50-01-00,Administración::Buzzword - Nomina,1,2.-Administración Operativa,1.-Operación
50-02-12,Buzzword,50,Buzzword,02,Gestión - SAP,12,50-18-00,Administración::Buzzword - Administración y finanzas::SAP,1,2.-Administración Operativa,1.-Operación
50-02-13,Buzzword,50,Buzzword,02,Buzzword Gestión - SUA Patronal,13,50-06-00,Buzzword: SUA,1,1.- Operación,1.-Operación
50-02-14,Buzzword,50,Buzzword,02,Gestión - Vacaciones,14,50-16-00,Administración::Buzzword Vacaciones,1,2.-Administración Operativa,1.-Operación
50-02-15,Buzzword,50,Buzzword,02,Proyectos - Aplicaciones Móviles,15,50-14-00,Buzzword:Aplicaciones móviles,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-16,Buzzword,50,Buzzword,02,Proyectos - ART Background Check RRHH,16,50-30-00,ART BC RH ,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-17,Buzzword,50,Buzzword,02,Proyectos - ART EU,17,15-52-00,Plataformas TI::ART EU,1,4.-Innovación,2.-Investigación y Desarrollo
